2019-09-20 10:00:02.993 [main] INFO  com.code.Application - Starting Application on DESKTOP-FA670DI with PID 16784 (C:\Users\youlianz\IdeaProjects\MOOC\AutoTest_java\CodeCharpter13\target\classes started by youlianz in C:\Users\youlianz\IdeaProjects\MOOC\AutoTest_java)
2019-09-20 10:00:03.018 [main] INFO  com.code.Application - No active profile set, falling back to default profiles: default
2019-09-20 10:00:04.521 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.code]' package. Please check your configuration.
2019-09-20 10:00:04.861 [main] INFO  o.s.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$394ea316] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-09-20 10:00:05.475 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2019-09-20 10:00:05.543 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2019-09-20 10:00:05.544 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.22]
2019-09-20 10:00:05.807 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-09-20 10:00:05.807 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2594 ms
2019-09-20 10:00:07.639 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-09-20 10:00:07.916 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
2019-09-20 10:00:08.003 [main] INFO  springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2019-09-20 10:00:08.040 [main] INFO  springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2019-09-20 10:00:08.075 [main] INFO  springfox.documentation.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2019-09-20 10:00:08.486 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2019-09-20 10:00:08.490 [main] INFO  com.code.Application - Started Application in 6.498 seconds (JVM running for 9.358)
2019-09-20 10:27:55.181 [http-nio-8888-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-09-20 10:27:55.181 [http-nio-8888-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2019-09-20 10:27:55.192 [http-nio-8888-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 11 ms
2019-09-20 10:27:55.302 [http-nio-8888-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2019-09-20 10:27:55.304 [http-nio-8888-exec-1] WARN  com.zaxxer.hikari.util.DriverDataSource - Registered driver with driverClassName=com.mysql.jdbc.Driver was not found, trying direct instantiation.
2019-09-20 10:27:55.434 [http-nio-8888-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2019-09-20 10:27:55.483 [http-nio-8888-exec-1] INFO  com.code.controller.UserManager - 查询到的结果是1
2019-09-20 10:27:55.483 [http-nio-8888-exec-1] INFO  com.code.controller.UserManager - 查询到的登录用户是：zhangsan
2019-09-20 10:27:55.589 [http-nio-8888-exec-2] INFO  com.code.controller.UserManager - 查询到的结果是0
2019-09-20 10:27:55.654 [http-nio-8888-exec-3] INFO  com.code.controller.UserManager - cookie验证通过
2019-09-20 10:27:55.659 [http-nio-8888-exec-3] INFO  com.code.controller.UserManager - 添加用户的数量是：1
2019-09-20 10:29:03.044 [http-nio-8888-exec-5] INFO  com.code.controller.UserManager - 查询到的结果是1
2019-09-20 10:29:03.045 [http-nio-8888-exec-5] INFO  com.code.controller.UserManager - 查询到的登录用户是：zhangsan
2019-09-20 10:29:03.120 [http-nio-8888-exec-6] INFO  com.code.controller.UserManager - 查询到的结果是0
2019-09-20 10:29:03.172 [http-nio-8888-exec-7] INFO  com.code.controller.UserManager - cookie验证通过
2019-09-20 10:29:03.182 [http-nio-8888-exec-7] INFO  com.code.controller.UserManager - 添加用户的数量是：1
